sexo;edad;peso;rbc;plaq;hto;hb
HEMBRA;3.5;65;6.04;483;46.26;14.1
HEMBRA;3.5;60;8.68;245.7;61;21.2
HEMBRA;2.5;50;7.66;451.5;96.8;17.6
HEMBRA;2;20;5.88;252;44;14.1
HEMBRA;1.5;33;5.51;233.1;43;13.18
HEMBRA;3;37;7.43;222.6;55.4;17.5
MACHO;4;38;9.3;260.4;59;18.4
HEMBRA;3;35;6.62;420;50;16.1
HEMBRA;1.5;32;8.59;243.6;57;20.2
HEMBRA;6;45;7.21;279.3;53.97;16.3
HEMBRA;4;41;7.9;310.8;59.07;17.7
HEMBRA;5;7;9.08;210;62;21.6
HEMBRA;3;30;7.02;193.2;50;16.9
HEMBRA;6;42;6.25;273;45.88;15.6
HEMBRA;7;27;8.19;247.8;55;14
MACHO;7;27;7.67;220.5;53;19.4
MACHO;2;26;7.37;197.4;46;16.7
MACHO;5;27;7.96;243.6;55;20
MACHO;7;31;7.73;262.5;49;17.9
MACHO;5;42;7.3;323.4;49;18.2
MACHO;6;24;7.79;178.5;51;17.3
MACHO;5;17;6.67;344.4;48;16.7
MACHO;2;32;7.81;153.3;52;18
MACHO;2;12.5;6.34;348.6;45;14.8
MACHO;6.5;30;8.49;264.6;51;18.4
HEMBRA;2;45;8.57;340.2;44;15.5
MACHO;5;19;7.68;344.4;60;18.4
HEMBRA;4;4;7.17;207.9;50.89;18.3
MACHO;4;35;7.31;373.8;50;16.7
MACHO;2;12;7.9;226.8;58;19.4
HEMBRA;3;46;7.64;323.4;57.9;17.9
MACHO;6;45;9.16;210;61;21.8
MACHO;7;50;7.02;346.5;43;14.5
HEMBRA;2;18;8.25;226.8;63.8;19.6
MACHO;6;23;6.81;142.8;46;16.5
MACHO;3;25;7.31;315;50;17
MACHO;2;22;8.88;436.8;57;18.8
MACHO;6;32;6.09;361.2;43;12.4
MACHO;2;72;8.32;333.9;58;19.9
HEMBRA;6;41;8;378;49;15.5
HEMBRA;2;15;8.31;310.8;58;19.3
MACHO;4;6;8.6;203.7;55.96;16.3
HEMBRA;5;38;7.09;327.6;43;13
MACHO;6;24;7.21;296.1;51;18
HEMBRA;5;34;7.22;247.8;48;18.2
HEMBRA;6;28;7.42;174.3;55;18
HEMBRA;5;26;7.73;186.9;55;18.9
MACHO;3;42;8.36;285.6;55;19.4
MACHO;6;30;8.55;283.5;62;20.6
MACHO;1;22;7.02;323.4;51;16.2
MACHO;3;38;7.29;172.2;51;17.3
HEMBRA;4;32;6.26;289.8;48;17.6
HEMBRA;2.5;28;7.7;281.4;54;18.2
HEMBRA;3;21;7.96;378;59;20.9
MACHO;6;25;7.29;222.6;50;16.8
HEMBRA;6;21;5.65;512.4;38;13.7
HEMBRA;1;42;7.74;289.8;54.89;17.3
MACHO;7;7;8.14;205.8;53;18.9
MACHO;2;28;7.84;289.8;53;18.3
MACHO;6;41;11.2;193.2;57;19.3
MACHO;5;6;7.54;315;51;17.6
HEMBRA;7;28;5.83;222.6;43;14.6
MACHO;2;3;8.16;184.8;56;20.1
HEMBRA;1.5;32;9.15;270.9;47;16.2
MACHO;3.5;6;8.44;357;59.87;17.9
MACHO;3.5;35;7.93;277.2;56.78;19.3
HEMBRA;1;42;7.12;197.4;55.22;18.9
HEMBRA;2;5;7.81;388.5;55;19
HEMBRA;5;8;6.78;438.9;48;16.4
MACHO;5.5;39;8.35;252;44;15.6
HEMBRA;2;38;7.85;281.4;49;18.7
HEMBRA;6;41;9.8;304.5;64;22.7
MACHO;3;13;8.41;315;54;18.6
MACHO;2;15;8.08;155.4;55;19.1
HEMBRA;3.5;47;6.98;220.5;49.94;15.1
MACHO;3;43;8.33;310.8;55;18.7
MACHO;4.5;35;7.45;396.9;50;16
MACHO;4;28;7.62;220.5;58;19.9
HEMBRA;2;25;6.78;422.1;46;16
HEMBRA;4.5;19;8.18;327.6;55;18.8
MACHO;3.5;8;8.49;499.8;58;20
MACHO;2;41;7.45;323.4;53;18.1
MACHO;4;22;6.67;310.8;44;15.7
MACHO;5;45;8.14;153.3;54;18.8
MACHO;2;67;7.18;247.8;59;17.7
MACHO;2;16.8;8.71;327.6;54;19.7
HEMBRA;1;35;7.09;407.4;54;18.4
MACHO;3;42;7.05;277.2;52.84;15.6
MACHO;1.5;50;9.14;342.3;46;15.4
MACHO;2;6;8.31;480.9;61;20.3
MACHO;6;29;7.32;210;49;18.4
MACHO;6;9;8.63;310.8;58;20.2
MACHO;2;25;8.15;182.7;55;19.4
MACHO;1.5;23;6.74;249.9;60;18.9
MACHO;7;12;8.03;342.3;53;18.8
MACHO;2;27;6;325.5;42;14.4
HEMBRA;5;42;7.92;197.4;55;19.6
HEMBRA;1.5;15;6.42;445.2;48.23;15
MACHO;7;28;6.84;308.7;46;15.2
MACHO;2;17;8.42;275.1;55;19.1
MACHO;2;28;6.79;348.6;50;16.7
MACHO;5;36;7.97;218.4;59;19.9
HEMBRA;2;50;9.31;163.8;48;16.8
HEMBRA;2;21;8.33;298.2;54;19.4
MACHO;3;33;7.24;207.9;51;17.5
MACHO;2;15;8.03;407.4;58;19.4
HEMBRA;7;32;7.66;365.4;49;17.6
HEMBRA;4;45;7.35;371.7;57.95;18.2
HEMBRA;6;28;8.4;168;54;20.6
MACHO;5.5;30;8.64;310.8;61;22.1
HEMBRA;4;7;8.28;275.1;57;19.8
MACHO;2;60;7.83;178.5;53;18.7
HEMBRA;8;8.5;8.6;298.2;62;20.7
HEMBRA;6;26;7.56;228.9;50;18.2
HEMBRA;7;50;6.32;241.5;42;14.9
HEMBRA;7;32;6.64;254.1;45;15.9
HEMBRA;3;6.5;8.87;214.2;64;21.8
MACHO;6;50;6.48;331.8;44;15.2
HEMBRA;6;7.6;7.68;327.6;49;16.2
